#,nombre archivo,Colección,dspace.entity.type,dc.contributor.entity ,dc.ciudad,dc.date.issued,dc.description.tableofcontents,dc.format,dc.format.extent,dc.format.medium,dc.subject,dc.type,dc.type.evento,fia.catalogador,fia.clasificacionlocal,fia.comuna,fia.convocatoria,fia.desafio-estrategico,fia.ejecucion,fia.especie,fia.iniciativa,fia.linea-de-accion,fia.notageneral,fia.participacion,fia.provincia,fia.realizacion,fia.region,fia.rubro,fia.sector,fia.subsector,fia.tema,dc.title,dc.title.alternative,dc.description,dc.description.abstract
1,COC-2016-0429_1.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,2448 x 3264 píxeles,"2,33 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía esta asociada a la Consultoría COC-2016-0429 “ Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Textilería artesanal con diseño indígena.,Elaboración de textilería con lana de oveja.,"Muestra un tejido artesanal en tonos rojos y verdes, con un diseño geométrico en negro. La pieza textil está elaborada con lana de oveja, destacando la técnica de telar. Se observa un enfoque en la identidad cultural a través del uso de patrones tradicionales. El entorno incluye materiales de lana en diferentes colores, evidenciando el proceso de producción textil.","La imagen resalta la importancia de la textilería artesanal en la cadena de valor ovina, promoviendo la identidad cultural y la innovación en el proceso productivo."
37,COC-2016-0429_131.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"1,83 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Presentación de textilería artesanal.,Demostración de vestimenta con lana de oveja.,"Modelo exhibiendo una prenda de textilería elaborada con lana de oveja, destacando técnicas artesanales. La vestimenta presenta un diseño que integra patrones tradicionales y contemporáneos, utilizando colores naturales. El entorno incluye banderas chilenas y un banner del proyecto, indicando un evento de promoción de la identidad territorial y la innovación en la cadena de valor ovina.","La imagen resalta la fusión de técnicas tradicionales en la elaboración de vestimenta, promoviendo la competitividad y la identidad cultural en la producción de textilería con lana de oveja."
38,COC-2016-0429_132.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"2,10 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Muestra de textilería artesanal en lana.,Presentación de vestimenta elaborada con lana ovina.,"Modelo exhibiendo vestimenta confeccionada con lana de oveja, destacando técnicas de tejido y diseño. La prenda incluye elementos decorativos que reflejan la identidad territorial. El entorno es un espacio de exhibición con iluminación adecuada y fondo neutro, lo que permite resaltar la textilería. Se observa un enfoque en la valorización de la producción artesanal y la innovación en el uso de materiales locales.","La imagen ilustra la aplicación de técnicas de textilería artesanal en lana ovina, promoviendo la identidad cultural y la competitividad en la cadena de valor ovina."
39,COC-2016-0429_133.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,2448 x 3264 píxeles,"1,96 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Presentación de textilería artesanal.,Modelo de vestimenta con lana de oveja.,"Modelo exhibiendo una prenda de vestir elaborada con lana de oveja, destacando técnicas de teñido y hilado. La vestimenta presenta una combinación de colores que refleja la identidad territorial. El entorno es un espacio de presentación formal, con banderas y un fondo institucional que sugiere un evento relacionado con la promoción de la textilería artesanal.","La imagen resalta la importancia de la textilería artesanal en la cadena de valor ovina, evidenciando la innovación en el diseño y la producción de prendas que fortalecen la identidad cultural y competitividad del sector."
40,COC-2016-0429_134.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"1,74 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Niña con vestimenta de lana artesanal.,Exhibición de vestimenta textil elaborada con lana.,"Niña posando con un vestido de lana artesanal, elaborado mediante técnicas tradicionales de hilado y tejido. El entorno presenta un espacio de exhibición con elementos decorativos que reflejan la identidad cultural. La vestimenta muestra una combinación de colores y texturas, evidenciando el uso de lana de oveja en su confección.","La imagen resalta la importancia de la textilería artesanal en la valorización de la lana de oveja, contribuyendo a la identidad territorial y a la competitividad de la cadena de valor ovina."
41,COC-2016-0429_135.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"2,16 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Modelo exhibiendo textilería artesanal.,Presentación de textilería con identidad territorial.,"Modelo presenta una prenda de textilería elaborada con lana de oveja, destacando el uso de técnicas artesanales. La prenda, de diseño contemporáneo, incorpora elementos tradicionales y coloridos, reflejando la identidad cultural de la región. El entorno es un espacio de exhibición, con un telar y materiales de trabajo visibles en el fondo, lo que sugiere un contexto de producción artesanal.","La imagen resalta la fusión de técnicas tradicionales y diseño moderno en la textilería, contribuyendo a la valorización de la lana de oveja y la identidad territorial en el marco del proyecto de mejora de la cadena de valor ovina."
42,COC-2016-0429_136.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"2,04 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Muestra de textilería artesanal en lana.,Presentación de prenda tejida con lana de oveja.,"Artista textil exhibe una prenda elaborada con lana de oveja, destacando el uso de técnicas tradicionales de tejido. La prenda presenta un diseño con flecos y un colorido que refleja la identidad territorial. El entorno incluye un telar en el fondo, evidenciando el proceso productivo artesanal. La vestimenta de la artesana resalta la conexión con la cultura local.","La imagen ilustra la aplicación de técnicas de textilería artesanal en lana de oveja, contribuyendo a la valorización de la cadena de producción ovina y la identidad cultural asociada."
43,COC-2016-0429_137.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"1,91 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Presentación de artesana en evento textil.,Exposición sobre innovación en textilería ovina.,"Artesana de pie, vistiendo un chaleco de lana, presenta información sobre la cadena de valor ovina. La escena incluye un fondo con proyector y banners institucionales. La vestimenta refleja técnicas tradicionales de confección, destacando la identidad territorial. La artesana sostiene un objeto en la mano, posiblemente relacionado con su exposición.","La imagen resalta la importancia de la innovación en la producción artesanal de lana, promoviendo la competitividad de la cadena de valor ovina y la identidad cultural a través de la textilería."
44,COC-2016-0429_138.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"2,16 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Desfile de textilería artesanal.,Presentación de prendas de lana en pasarela.,"Modelo exhibiendo una prenda de textilería elaborada con lana de oveja, destacando técnicas artesanales. La vestimenta presenta un diseño que refleja la identidad territorial, con un enfoque en la innovación del proceso productivo. El entorno incluye un escenario con fondo neutro y una presentación formal, evidenciando la importancia de la moda en la valorización de la lana ovina.","La imagen resalta la fusión entre la tradición textil y la modernidad, promoviendo la competitividad de la cadena de valor ovina mediante la innovación en la elaboración de prendas artesanales."
45,COC-2016-0429_139.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"2,58 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Demostración de textilería en evento.,Presentación de poncho artesanal en escenario.,"Artista vestido con un poncho de lana de oveja, exhibiendo un diseño tradicional en blanco y negro. El fondo presenta un telar y herramientas de trabajo, indicando el contexto de la producción textil. La escena se desarrolla en un espacio cerrado, con iluminación adecuada para resaltar la vestimenta y el entorno artesanal.","La imagen destaca la importancia de la textilería artesanal en la cadena de valor ovina, promoviendo la identidad territorial y la innovación en procesos productivos."
46,COC-2016-0429_14.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"1,88 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Teñido de lana en proceso artesanal.,Proceso de teñido a fuego de lana de oveja.,"Mujer utilizando un palo para mezclar lana en una olla sobre fuego, en un entorno rural. Se observa vapor y humo, indicando el proceso de teñido. Alrededor, un grupo de personas observa atentamente, participando en la actividad de aprendizaje sobre técnicas de teñido artesanal. Herramientas visibles incluyen ollas de metal y un cilindro de gas.","El proceso de teñido a fuego de lana de oveja es fundamental para la elaboración de textilería con identidad territorial, promoviendo la innovación y competitividad en la cadena de valor ovina."
47,COC-2016-0429_140.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"2,77 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Exhibición de textilería artesanal.,Presentación de prendas de lana por artesanas.,"Grupo de artesanas y artesanos vistiendo prendas elaboradas con lana de oveja, destacando técnicas de tejido y diseño. Las vestimentas reflejan la identidad cultural y territorial, incorporando elementos tradicionales y contemporáneos. Se observa un ambiente de exhibición, con un fondo que sugiere un evento formal de presentación.","La imagen resalta la importancia de la textilería artesanal en la valorización de la cultura local y la competitividad de la cadena de valor ovina, promoviendo la innovación en el proceso productivo de la lana."
48,COC-2016-0429_141.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"2,91 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Exhibición de textilería artesanal.,Presentación de prendas de lana por artesanas.,"Grupo de seis personas vistiendo prendas de textilería elaboradas con lana de oveja, destacando técnicas tradicionales de confección. Las vestimentas presentan colores y patrones que reflejan la identidad cultural territorial. Se utilizan accesorios como collares y cintas que complementan las prendas. El entorno es un auditorio, con un fondo que incluye una pantalla y un banner del proyecto.","La imagen resalta la importancia de la textilería artesanal en la valorización de la cultura local y la competitividad de la cadena de valor ovina, en el marco de la consultoría para mejorar procesos productivos en la elaboración de prendas de lana."
49,COC-2016-0429_142.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"2,78 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Exhibición de textilería artesanal.,Presentación de vestimenta elaborada con lana ovina.,"Grupo de artesanas y artesanos vistiendo prendas de textilería elaboradas con lana de oveja. Las vestimentas presentan técnicas de tejido y teñido, reflejando la identidad cultural y territorial. Se aprecian diferentes estilos y colores, evidenciando la diversidad en el uso de la lana en la confección de ropa. El entorno es un espacio cerrado, adecuado para la presentación de estas obras.","La imagen resalta la importancia de la textilería artesanal en la valorización de la lana ovina, promoviendo la identidad cultural y la competitividad en la cadena de valor ovina."
50,COC-2016-0429_143.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"1,98 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Exhibición de productos alimenticios locales.,Muestra de gastronomía asociada a la cultura ovina.,"Mesa dispuesta con una variedad de productos alimenticios típicos, incluyendo panes, salsas y huevos. Los alimentos reflejan la identidad cultural y territorial de la comunidad, complementando el proceso productivo de la lana con la gastronomía local. Se aprecian elementos como platos de cerámica y vasos, que indican la tradición artesanal en la presentación de la comida.","La imagen resalta la conexión entre la producción ovina y la cultura local, mostrando la importancia de la gastronomía en el fortalecimiento de la identidad territorial y la competitividad de la cadena de valor ovina."
51,COC-2016-0429_144.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"1,80 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Encuentro de artesanas en espacio comunitario.,Interacción y colaboración entre artesanas de la lana.,"Grupo de artesanas y participantes en un evento de intercambio cultural y comercial, en un entorno interior con decoración que refleja la identidad territorial. Se observan elementos de textilería y productos elaborados con lana de oveja, así como la interacción social entre los asistentes, quienes comparten experiencias y conocimientos sobre el proceso productivo artesanal.","La imagen captura un momento clave en la promoción de la cadena de valor ovina, facilitando la colaboración y el aprendizaje entre artesanas, lo que potencia la competitividad del sector textil artesanal."
52,COC-2016-0429_145.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"1,88 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Reunión comunitaria con degustación de productos.,Interacción social en evento de textilería ovina.,"Mesa dispuesta con diversos alimentos típicos, incluyendo pan, queso y bebidas, en un ambiente de reunión comunitaria. Participantes interactúan, promoviendo la cohesión social y el intercambio cultural. La actividad se enmarca en el contexto de la cadena de valor ovina, resaltando la importancia de la comunidad en el proceso productivo artesanal.","La imagen refleja la importancia de la interacción social en el fortalecimiento de la cadena de valor ovina, promoviendo la identidad territorial y el trabajo colaborativo entre artesanas y la comunidad."
53,COC-2016-0429_146.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"2,71 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Artesanas trabajando lana de oveja.,Proceso de hilado de lana en comunidad.,"Tres artesanas participan en el proceso de hilado de lana de oveja. Una de ellas se encuentra en el suelo, manipulando la lana con las manos, mientras las otras dos sostienen el hilo ya hilado. En el fondo, se observa una cocina a leña, que indica un entorno de trabajo tradicional. Las herramientas utilizadas incluyen husos y ovillos de lana, evidenciando la técnica artesanal de hilado.","La imagen refleja el trabajo colaborativo de artesanas en el hilado de lana, resaltando la importancia de la tradición y la identidad territorial en la producción textil artesanal, en el marco del proyecto de mejora de la cadena de valor ovina."
